timestamps,,,,,Marker
1490137045.041,-157.162,58.370,104.663,-221.318,0
1490137045.055,-91.341,121.607,217.804,203.623,0
1490137045.056,-174.517,36.961,160.225,82.566,0
1490137045.056,-198.220,11.007,88.714,-248.026,0
1490137045.056,-80.318,108.283,191.002,71.703,0
1490137045.071,-116.879,82.897,196.966,212.853,0
1490137045.071,-206.506,6.625,97.174,-193.319,0
1490137045.086,-123.808,91.276,145.817,-93.881,0
1490137045.086,-96.093,123.594,211.480,264.826,0
1490137045.086,-203.888,-0.978,120.724,-71.301,0
1490137045.087,-144.815,68.874,107.316,-218.653,0
1490137045.101,-65.598,132.409,215.469,192.379,0
1490137045.101,-158.837,45.909,160.859,85.227,0
1490137045.115,-184.340,21.686,83.316,-260.535,0
1490137045.115,-71.075,133.612,189.938,77.483,0
1490137045.116,-116.571,94.141,207.548,217.743,0
1490137045.116,-192.173,6.047,97.090,-195.329,0
1490137045.131,-100.682,100.052,156.425,-78.276,0
1490137045.131,-100.854,122.216,213.677,240.444,0
1490137045.145,-196.472,9.095,107.973,-72.403,0
1490137045.145,-169.064,56.923,98.174,-218.532,0
1490137045.146,-96.086,124.621,211.491,209.943,0
1490137045.146,-165.064,31.568,160.599,85.584,0
1490137045.161,-168.206,22.892,93.008,-259.224,0
1490137045.161,-71.565,134.575,193.800,70.675,0
1490137045.176,-117.218,88.323,204.397,206.622,0
1490137045.176,-206.328,-2.732,91.018,-200.462,0
1490137045.176,-105.985,100.371,145.776,-84.591,0
1490137045.176,-82.022,124.570,230.812,259.433,0
1490137045.191,-205.109,-14.932,119.508,-74.529,0
1490137045.191,-149.143,38.297,85.887,-210.818,0
1490137045.205,-79.033,142.683,219.239,194.305,0
1490137045.205,-176.544,42.053,154.759,82.811,0
1490137045.206,-189.087,32.988,85.795,-260.553,0
1490137045.206,-86.010,131.076,180.076,70.254,0
1490137045.221,-124.800,72.079,193.512,210.554,0
1490137045.221,-208.997,-4.207,90.302,-196.919,0
1490137045.235,-111.900,83.331,140.714,-93.756,0
1490137045.236,-87.805,110.634,224.848,256.540,0
1490137045.236,-211.936,-1.552,110.295,-82.613,0
1490137045.236,-165.463,40.019,98.473,-225.383,0
1490137045.251,-90.225,114.542,208.675,198.420,0
1490137045.251,-180.390,21.751,158.486,80.789,0
1490137045.266,-196.352,11.560,76.926,-256.198,0
1490137045.266,-83.390,132.798,185.183,82.212,0
1490137045.266,-132.843,76.920,195.073,204.247,0
1490137045.266,-191.230,4.306,89.256,-202.893,0
1490137045.281,-98.337,99.642,146.815,-90.238,0
1490137045.281,-90.470,114.978,224.805,246.089,0
1490137045.295,-208.976,1.801,116.135,-85.782,0
1490137045.295,-150.767,72.633,111.202,-211.996,0
1490137045.296,-82.426,132.312,220.802,198.389,0
1490137045.296,-168.219,43.448,140.394,80.387,0
1490137045.311,-202.248,14.760,90.178,-255.351,0
1490137045.311,-96.819,115.339,187.361,70.576,0
1490137045.325,-118.476,97.163,200.296,210.180,0
1490137045.325,-178.999,15.375,95.657,-195.730,0
1490137045.326,-96.873,96.207,140.127,-79.839,0
1490137045.326,-78.934,122.175,222.803,256.694,0
1490137045.341,-198.237,2.158,114.899,-77.429,0
1490137045.341,-144.740,62.368,104.648,-196.751,0
1490137045.355,-68.537,149.514,220.359,211.794,0
1490137045.355,-165.502,52.366,162.794,81.593,0
1490137045.356,-182.372,34.362,89.515,-255.663,0
1490137045.356,-78.469,140.540,190.101,72.496,0
1490137045.371,-119.387,95.205,204.573,210.440,0
1490137045.371,-185.621,13.593,91.067,-194.572,0
1490137045.386,-90.535,104.040,153.865,-76.580,0
1490137045.386,-73.540,131.246,237.985,254.975,0
1490137045.393,-182.730,28.249,99.092,-66.307,0
1490137045.400,-135.115,74.147,117.614,-207.645,0
1490137045.401,-69.227,131.040,218.964,211.005,0
1490137045.401,-171.286,37.345,167.099,85.184,0
1490137045.401,-179.098,24.278,82.102,-257.634,0
1490137045.416,-87.970,128.993,186.361,87.456,0
1490137045.416,-103.087,99.324,210.276,207.531,0
1490137045.430,-176.714,31.883,91.777,-204.124,0
1490137045.430,-108.668,111.986,145.787,-91.390,0
1490137045.431,-79.028,121.700,231.863,253.176,0
1490137045.431,-201.244,11.156,109.721,-87.566,0
1490137045.446,-141.662,62.746,108.700,-212.243,0
1490137045.446,-72.404,134.831,217.716,204.488,0
1490137045.460,-162.641,46.981,169.528,80.208,0
1490137045.460,-186.879,30.256,84.935,-247.748,0
1490137045.461,-78.315,125.662,174.403,71.656,0
1490137045.461,-117.749,89.632,203.871,202.024,0
1490137045.476,-200.636,26.398,77.896,-201.137,0
1490137045.476,-120.623,85.045,143.844,-89.032,0
1490137045.490,-83.174,116.679,228.427,263.044,0
1490137045.490,-193.691,11.685,113.717,-82.351,0
1490137045.491,-160.217,52.332,102.722,-211.964,0
1490137045.491,-66.628,121.425,220.430,210.874,0
1490137045.506,-164.778,49.612,160.924,84.832,0
1490137045.506,-182.232,32.262,79.447,-261.973,0
1490137045.520,-80.621,131.630,195.748,79.523,0
1490137045.521,-129.842,70.149,197.220,207.452,0
1490137045.521,-191.393,9.641,86.500,-201.502,0
1490137045.521,-111.178,86.405,145.757,-88.219,0
1490137045.536,-89.036,121.356,218.945,257.518,0
1490137045.536,-209.412,13.853,107.309,-78.515,0
1490137045.550,-158.656,52.839,101.823,-207.250,0
1490137045.550,-62.423,126.813,223.910,206.074,0
1490137045.551,-185.596,30.342,160.574,79.796,0
1490137045.551,-193.843,21.187,77.429,-253.526,0
1490137045.566,-76.733,135.053,189.568,88.905,0
1490137045.566,-132.424,65.229,195.262,200.023,0
1490137045.580,-200.532,-2.272,87.493,-208.281,0
1490137045.580,-108.584,100.203,154.985,-90.509,0
1490137045.581,-84.355,122.790,234.767,253.073,0
1490137045.582,-195.595,15.694,121.964,-85.836,0
1490137045.596,-159.436,47.392,100.441,-213.588,0
1490137045.596,-91.218,117.562,209.083,204.816,0
1490137045.610,-166.023,31.148,152.233,83.172,0
1490137045.611,-176.413,21.076,86.145,-240.700,0
1490137045.611,-74.540,132.078,192.966,82.448,0
1490137045.611,-117.803,100.428,195.485,203.664,0
1490137045.626,-196.352,11.025,87.050,-204.045,0
1490137045.626,-102.195,103.866,148.315,-76.741,0
1490137045.640,-79.136,119.774,225.752,247.316,0
1490137045.640,-194.157,14.092,113.652,-87.372,0
1490137045.641,-151.659,57.424,114.222,-207.018,0
1490137045.641,-73.280,136.278,221.204,203.295,0
1490137045.656,-159.982,47.130,162.226,86.207,0
1490137045.656,-188.461,29.594,74.446,-267.775,0
1490137045.670,-87.553,130.910,192.124,80.819,0
1490137045.670,-125.038,73.293,204.195,215.873,0
1490137045.671,-202.880,0.279,93.023,-206.994,0
1490137045.671,-100.424,97.559,142.746,-79.813,0
1490137045.692,-87.901,127.140,220.467,252.206,0
1490137045.692,-190.239,-2.347,107.642,-86.326,0
1490137045.700,-148.149,70.957,103.951,-202.248,0
1490137045.700,-65.731,135.723,217.226,201.932,0
1490137045.701,-165.156,33.639,157.687,82.682,0
1490137045.701,-199.922,5.140,75.518,-247.615,0
1490137045.716,-91.254,123.428,186.527,95.500,0
1490137045.716,-120.791,78.377,202.817,213.907,0
1490137045.730,-195.657,0.838,100.205,-202.867,0
1490137045.731,-111.395,95.953,143.257,-87.661,0
1490137045.731,-106.314,114.318,216.849,254.283,0
1490137045.731,-186.251,-2.266,120.154,-78.011,0
1490137045.746,-137.578,57.499,104.506,-202.115,0
1490137045.746,-61.241,128.421,216.484,208.973,0
1490137045.760,-161.048,50.029,167.114,84.116,0
1490137045.761,-189.415,33.188,86.904,-258.930,0
1490137045.761,-80.791,138.962,191.511,87.918,0
1490137045.761,-113.231,84.995,185.684,198.920,0
1490137045.776,-210.633,1.722,86.498,-222.017,0
1490137045.776,-109.736,96.112,143.421,-73.915,0
1490137045.790,-94.876,107.543,223.730,255.669,0
1490137045.790,-206.695,-5.787,111.062,-92.733,0
1490137045.791,-131.914,66.630,112.608,-204.170,0
1490137045.791,-57.316,122.442,213.498,216.050,0
1490137045.805,-163.608,53.931,151.307,67.737,0
1490137045.806,-191.485,39.615,87.295,-254.915,0
1490137045.820,-80.217,125.227,194.871,82.650,0
1490137045.821,-95.569,89.754,206.530,205.163,0
1490137045.821,-197.474,9.114,86.543,-212.221,0
1490137045.821,-116.571,105.957,145.321,-75.279,0
1490137045.835,-100.472,118.480,223.027,254.837,0
1490137045.836,-218.593,6.982,118.179,-90.558,0
1490137045.851,-137.933,68.147,110.325,-200.204,0
1490137045.851,-74.888,126.296,205.085,206.287,0
1490137045.851,-166.489,21.527,164.903,72.332,0
1490137045.851,-185.761,23.818,94.481,-258.526,0
1490137045.866,-84.673,126.349,184.061,87.039,0
1490137045.866,-130.898,79.278,193.884,202.259,0
1490137045.880,-198.202,8.448,84.159,-210.566,0
1490137045.880,-101.927,112.098,144.104,-71.342,0
1490137045.881,-91.693,111.806,221.062,256.806,0
1490137045.881,-204.148,5.447,120.215,-87.392,0
1490137045.896,-153.261,66.454,101.725,-209.403,0
1490137045.896,-83.862,122.805,210.102,207.587,0
1490137045.910,-161.180,34.906,155.155,70.576,0
1490137045.911,-179.708,26.604,89.124,-251.190,0
1490137045.911,-80.516,112.956,189.471,85.358,0
1490137045.911,-117.302,86.889,197.996,202.807,0
1490137045.926,-200.290,-8.744,98.892,-210.171,0
1490137045.926,-110.157,120.965,136.734,-74.157,0
1490137045.940,-89.357,128.387,219.205,261.928,0
1490137045.940,-205.530,18.842,112.588,-87.719,0
1490137045.941,-150.896,62.735,103.496,-208.473,0
1490137045.941,-74.929,128.118,212.340,213.056,0
1490137045.955,-162.098,26.235,158.822,80.754,0
1490137045.956,-187.103,26.187,83.826,-258.549,0
1490137045.970,-71.359,126.336,190.924,83.471,0
1490137045.970,-129.948,66.075,196.049,201.504,0
1490137045.971,-210.207,-25.097,84.421,-211.243,0
