timestamps,,,,,Marker
1490136956.365,-166.040,40.569,144.555,14.371,0
1490136956.379,-154.299,61.484,95.970,-230.555,0
1490136956.379,-42.758,150.967,208.756,144.151,0
1490136956.394,-104.646,94.352,200.786,167.811,0
1490136956.394,-167.151,65.252,87.186,-218.835,0
1490136956.395,-68.461,136.443,178.019,-3.347,0
1490136956.395,-67.673,140.499,211.168,257.438,0
1490136956.409,-180.910,46.807,129.017,-115.965,0
1490136956.409,-97.232,130.960,133.593,-158.364,0
1490136956.424,-27.821,153.338,220.544,238.770,0
1490136956.424,-143.305,56.508,146.516,23.962,0
1490136956.425,-165.752,44.148,89.550,-237.674,0
1490136956.425,-43.826,170.596,211.940,151.846,0
1490136956.439,-119.574,94.002,186.284,166.313,0
1490136956.439,-181.350,43.499,88.703,-223.018,0
1490136956.454,-98.356,123.961,176.454,-6.827,0
1490136956.454,-75.473,118.833,209.045,238.744,0
1490136956.455,-168.742,34.450,100.891,-138.100,0
1490136956.455,-109.179,102.395,121.059,-161.590,0
1490136956.469,-38.994,181.264,203.320,210.813,0
1490136956.469,-157.216,20.904,124.965,9.928,0
1490136956.484,-131.353,83.317,73.781,-250.770,0
1490136956.484,-55.169,144.474,171.349,136.776,0
1490136956.485,-125.681,91.491,183.296,159.632,0
1490136956.485,-173.593,21.409,67.550,-243.548,0
1490136956.499,-54.363,136.117,163.881,-23.838,0
1490136956.499,-92.114,131.974,212.206,240.548,0
1490136956.514,-179.134,-3.938,104.037,-134.840,0
1490136956.514,-123.796,90.713,108.321,-161.607,0
1490136956.515,-93.640,147.318,215.138,237.607,0
1490136956.515,-182.062,35.499,135.194,5.531,0
1490136956.529,-159.116,40.928,86.897,-240.887,0
1490136956.529,-58.036,122.265,200.965,133.023,0
1490136956.544,-133.918,95.412,194.469,161.018,0
1490136956.544,-204.498,18.647,75.918,-237.723,0
1490136956.545,-92.837,117.592,158.882,-6.397,0
1490136956.545,-99.105,80.503,222.331,238.748,0
1490136956.559,-175.426,11.637,93.881,-141.596,0
1490136956.559,-130.923,102.604,118.588,-164.099,0
1490136956.574,-74.658,149.759,193.149,228.409,0
1490136956.574,-188.654,17.247,147.604,7.934,0
1490136956.575,-182.410,60.912,91.704,-241.323,0
1490136956.575,-83.050,134.234,201.633,132.277,0
1490136956.589,-138.524,60.626,190.615,159.026,0
1490136956.589,-197.319,8.708,82.895,-223.225,0
1490136956.604,-86.811,129.472,170.294,-5.490,0
1490136956.604,-102.821,107.047,213.840,251.218,0
1490136956.605,-186.513,16.040,108.805,-135.472,0
1490136956.605,-136.168,101.080,124.615,-165.829,0
1490136956.619,-58.092,146.421,226.126,238.542,0
1490136956.619,-184.026,16.302,133.810,6.485,0
1490136956.634,-160.171,49.511,97.368,-239.877,0
1490136956.634,-52.209,146.204,210.730,135.738,0
1490136956.635,-126.678,75.479,181.260,156.739,0
1490136956.635,-200.492,17.922,76.902,-236.466,0
1490136956.649,-79.811,108.784,161.781,-7.781,0
1490136956.649,-96.278,138.844,231.894,246.803,0
1490136956.664,-198.374,26.968,81.726,-128.593,0
1490136956.664,-116.072,92.325,120.559,-161.313,0
1490136956.665,-62.380,137.860,214.627,232.410,0
1490136956.665,-187.139,15.248,131.029,3.065,0
1490136956.679,-159.398,57.095,86.610,-245.365,0
1490136956.679,-68.464,143.814,198.319,144.689,0
1490136956.694,-149.934,44.423,184.444,154.217,0
1490136956.694,-213.124,27.290,89.238,-227.335,0
1490136956.695,-80.101,144.901,164.385,-17.420,0
1490136956.695,-64.556,114.260,215.040,245.339,0
1490136956.709,-188.231,10.376,103.494,-140.226,0
1490136956.709,-110.507,112.190,122.469,-156.816,0
1490136956.724,-76.243,148.693,215.366,227.760,0
1490136956.724,-183.530,31.140,131.809,9.694,0
1490136956.725,-158.288,55.235,101.501,-237.113,0
1490136956.725,-62.727,129.178,178.365,140.708,0
1490136956.739,-134.175,83.705,190.974,161.077,0
1490136956.739,-186.675,27.139,77.068,-230.520,0
1490136956.754,-67.614,137.049,171.637,-7.800,0
1490136956.754,-90.113,117.612,219.222,245.984,0
1490136956.755,-194.819,21.475,105.394,-131.256,0
1490136956.755,-127.727,98.765,121.717,-157.136,0
1490136956.776,-71.077,138.421,216.327,226.348,0
1490136956.776,-173.946,41.135,129.502,-1.771,0
1490136956.784,-145.764,64.167,86.003,-241.409,0
1490136956.784,-66.331,153.515,193.755,140.871,0
1490136956.785,-136.652,72.057,183.485,152.960,0
1490136956.785,-190.570,25.487,85.571,-234.707,0
1490136956.799,-69.897,126.556,163.894,-2.517,0
1490136956.799,-88.522,109.233,225.170,241.132,0
1490136956.814,-196.377,34.151,97.520,-137.477,0
1490136956.814,-114.007,112.747,117.309,-155.959,0
1490136956.815,-52.473,138.027,218.307,232.764,0
1490136956.815,-183.436,18.664,100.186,-2.689,0
1490136956.829,-171.908,56.880,87.411,-248.703,0
1490136956.829,-65.525,138.861,198.686,141.957,0
1490136956.844,-133.019,68.951,187.765,163.321,0
1490136956.844,-196.167,16.495,95.887,-229.697,0
1490136956.845,-74.458,143.952,177.726,-3.035,0
1490136956.845,-66.333,150.664,218.448,249.171,0
1490136956.859,-188.108,29.229,95.401,-150.987,0
1490136956.859,-103.752,105.360,129.133,-151.103,0
1490136956.874,-43.220,131.568,226.989,246.293,0
1490136956.874,-175.542,40.591,135.366,1.782,0
